2019-08-22 17:24:25,755 INFO  container.ReplicationManager (ReplicationManager.java:start(152)) - Starting Replication Monitor Thread.
2019-08-22 17:24:25,766 INFO  container.ReplicationManager (ReplicationManager.java:run(215)) - Replication Monitor Thread took 4 milliseconds for processing 0 containers.
2019-08-22 17:24:26,485 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(506)) - Container #1661397978678371328 is under replicated. Expected replica count is 3, but found 2.
2019-08-22 17:24:26,486 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(669)) - Sending replicate container command for container #1661397978678371328 to datanode bf888a25-0610-4b4b-b41e-c825ab421185{ip: 241.66.85.130, host: localhost-241.66.85.130, networkLocation: /default-rack, certSerialId: null}
2019-08-22 17:24:26,497 INFO  container.ReplicationManager (ReplicationManager.java:run(215)) - Replication Monitor Thread took 46 milliseconds for processing 1 containers.
2019-08-22 17:24:26,699 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(692)) - Sending delete container command for container #1661397978678371328 to datanode 611f98ff-141d-4278-9f3d-9523ad78629d{ip: 38.239.2.149, host: localhost-38.239.2.149, networkLocation: /default-rack, certSerialId: null}
2019-08-22 17:24:26,703 INFO  container.ReplicationManager (ReplicationManager.java:run(215)) - Replication Monitor Thread took 149 milliseconds for processing 1 containers.
2019-08-22 17:24:26,703 INFO  container.ReplicationManager (ReplicationManager.java:stop(193)) - Stopping Replication Monitor Thread.
2019-08-22 17:24:26,756 INFO  container.ReplicationManager (ReplicationManager.java:start(152)) - Starting Replication Monitor Thread.
2019-08-22 17:24:26,758 INFO  container.ReplicationManager (ReplicationManager.java:run(215)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-08-22 17:24:26,858 INFO  container.ReplicationManager (ReplicationManager.java:run(215)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-08-22 17:24:26,958 INFO  container.ReplicationManager (ReplicationManager.java:stop(193)) - Stopping Replication Monitor Thread.
2019-08-22 17:24:26,993 INFO  container.ReplicationManager (ReplicationManager.java:start(152)) - Starting Replication Monitor Thread.
2019-08-22 17:24:26,995 INFO  container.ReplicationManager (ReplicationManager.java:run(215)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-08-22 17:24:27,099 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(454)) - Force closing container #1771683268264757248 with BCSID 10000, which is in QUASI_CLOSED state.
2019-08-22 17:24:27,102 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(647)) - Sending close container command for container #1771683268264757248 to datanode a1d6526c-a7eb-429d-a6a9-416f7c86f8b4{ip: 252.64.147.170, host: localhost-252.64.147.170, networkLocation: /default-rack, certSerialId: null}.
2019-08-22 17:24:27,106 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(647)) - Sending close container command for container #1771683268264757248 to datanode 36f765bc-9273-403f-b387-a2c1c0c684c8{ip: 8.109.197.183, host: localhost-8.109.197.183, networkLocation: /default-rack, certSerialId: null}.
2019-08-22 17:24:27,106 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(647)) - Sending close container command for container #1771683268264757248 to datanode 9a5900dd-f515-4fc1-9db4-12a1ddcfc934{ip: 177.71.27.206, host: localhost-177.71.27.206, networkLocation: /default-rack, certSerialId: null}.
2019-08-22 17:24:27,106 INFO  container.ReplicationManager (ReplicationManager.java:run(215)) - Replication Monitor Thread took 12 milliseconds for processing 1 containers.
2019-08-22 17:24:27,195 INFO  container.ReplicationManager (ReplicationManager.java:stop(193)) - Stopping Replication Monitor Thread.
2019-08-22 17:24:27,221 INFO  container.ReplicationManager (ReplicationManager.java:start(152)) - Starting Replication Monitor Thread.
2019-08-22 17:24:27,222 INFO  container.ReplicationManager (ReplicationManager.java:run(215)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-08-22 17:24:27,324 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(647)) - Sending close container command for container #814687484855988224 to datanode 06534afa-3c33-4b10-ae45-37639bc13535{ip: 203.25.200.21, host: localhost-203.25.200.21, networkLocation: /default-rack, certSerialId: null}.
2019-08-22 17:24:27,325 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(647)) - Sending close container command for container #814687484855988224 to datanode bf53923e-7f94-4362-901b-7470b4478c34{ip: 205.125.17.149, host: localhost-205.125.17.149, networkLocation: /default-rack, certSerialId: null}.
2019-08-22 17:24:27,325 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(647)) - Sending close container command for container #814687484855988224 to datanode c8977977-54e3-4142-a7f1-ec51910e240a{ip: 150.245.143.7, host: localhost-150.245.143.7, networkLocation: /default-rack, certSerialId: null}.
2019-08-22 17:24:27,325 INFO  container.ReplicationManager (ReplicationManager.java:run(215)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-08-22 17:24:27,424 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(647)) - Sending close container command for container #814687484855988224 to datanode 06534afa-3c33-4b10-ae45-37639bc13535{ip: 203.25.200.21, host: localhost-203.25.200.21, networkLocation: /default-rack, certSerialId: null}.
2019-08-22 17:24:27,424 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(647)) - Sending close container command for container #814687484855988224 to datanode bf53923e-7f94-4362-901b-7470b4478c34{ip: 205.125.17.149, host: localhost-205.125.17.149, networkLocation: /default-rack, certSerialId: null}.
2019-08-22 17:24:27,425 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(647)) - Sending close container command for container #814687484855988224 to datanode c8977977-54e3-4142-a7f1-ec51910e240a{ip: 150.245.143.7, host: localhost-150.245.143.7, networkLocation: /default-rack, certSerialId: null}.
2019-08-22 17:24:27,425 INFO  container.ReplicationManager (ReplicationManager.java:run(215)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-08-22 17:24:27,523 INFO  container.ReplicationManager (ReplicationManager.java:stop(193)) - Stopping Replication Monitor Thread.
2019-08-22 17:24:27,540 INFO  container.ReplicationManager (ReplicationManager.java:start(152)) - Starting Replication Monitor Thread.
2019-08-22 17:24:27,542 INFO  container.ReplicationManager (ReplicationManager.java:run(215)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-08-22 17:24:27,642 INFO  container.ReplicationManager (ReplicationManager.java:run(215)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-08-22 17:24:27,742 INFO  container.ReplicationManager (ReplicationManager.java:stop(193)) - Stopping Replication Monitor Thread.
2019-08-22 17:24:27,759 INFO  container.ReplicationManager (ReplicationManager.java:start(152)) - Starting Replication Monitor Thread.
2019-08-22 17:24:27,760 INFO  container.ReplicationManager (ReplicationManager.java:run(215)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
